id(numero),pergunta,resposa1,resposta2,resposta3,reposta4,resposta certa
160,Qual seleção bateu os EUA nas meias-finais das Olimpíadas de Atenas 2004 e acabou por conquistar o ouro?,Espanha,Argentina,Lituânia,Itália,Argentina
161,Quem foi o líder genial da seleção argentina de basquetebol na conquista do ouro olímpico em 2004?,Manu Ginobili,Luis Scola,Andres Nocioni,Fabricio Oberto,Manu Ginobili
162,"Qual jogador espanhol, lenda dos Memphis Grizzlies e LA Lakers, foi o pilar da 'Geração de Ouro' da Espanha?",Marc Gasol,Pau Gasol,Ricky Rubio,Juan Carlos Navarro,Pau Gasol
163,"Qual é a principal competição europeia de clubes de basquetebol, equivalente à Champions do futebol?",EuroCup,FIBA Europe Cup,EuroLeague,Basketball Champions League,EuroLeague
164,Que clube espanhol é o maior vencedor da história da EuroLeague de basquetebol?,FC Barcelona,Real Madrid,Baskonia,Unicaja Málaga,Real Madrid
165,De qual país europeu é originária a lenda Dirk Nowitzki?,França,Alemanha,Polónia,Áustria,Alemanha
166,Qual jogador francês foi o capitão da seleção nas medalhas de prata olímpicas em Tóquio 2020 e Paris 2024?,Rudy Gobert,Nicolas Batum,Evan Fournier,Victor Wembanyama,Nicolas Batum
167,Qual país venceu o Mundial da FIBA em 2019 na China?,Estados Unidos,Argentina,França,Espanha,Espanha
168,Como ficou conhecida a seleção norte-americana de 2008 que recuperou o ouro olímpico em Pequim?,The Dream Team,The Redeem Team,The Avengers,The Elite Squad,The Redeem Team
169,"Quem é considerado um dos maiores basquetebolistas africanos da história, famoso pelos seus blocos e pela expressão 'No, no, no'?",Hakeem Olajuwon,Dikembe Mutombo,Manute Bol,Pascal Siakam,Dikembe Mutombo
170,De qual país africano era natural o gigante Dikembe Mutombo?,Nigéria,Camarões,República Democrática do Congo,Senegal,República Democrática do Congo
171,Qual lenda do basquetebol chinês brilhou nos Houston Rockets e tornou-se um ícone global?,Yao Ming,Yi Jianlian,Wang Zhizhi,Zhou Qi,Yao Ming
172,Que país organizou o torneio de basquetebol dos Jogos Olímpicos de 2024?,Japão,França,Estados Unidos,Austrália,França
173,Quantas equipas participam na fase final de um Campeonato do Mundo da FIBA moderno?,16,24,32,40,32
174,"Qual base francês brilhante jogou no CSKA Moscovo e no Real Madrid, vencendo múltiplos títulos de MVP da EuroLeague?",Nando de Colo,Thomas Heurtel,Sergio Rodriguez,Antoine Diot,Nando de Colo
175,"Que país da América do Sul tem uma forte tradição no basquetebol, tendo sido campeão mundial em 1959 e 1963?",Argentina,Brasil,Uruguai,Venezuela,Brasil
176,"De que país europeu é originário o extremo Bogdan Bogdanovic, conhecido pela sua pontaria na NBA?",Sérvia,Croácia,Slovénia,Montenegro,Sérvia
177,Quem foi o MVP do Campeonato do Mundo de Basquetebol da FIBA em 2023?,Dennis Schröder,Bogdan Bogdanovic,Shai Gilgeous-Alexander,Anthony Edwards,Dennis Schröder
178,Qual o nome da federação internacional que regula o basquetebol mundial?,FIFA,FIBA,FIB,NBAI,FIBA
179,Em que país está localizada a sede central da FIBA?,Estados Unidos,Suíça,Espanha,França,Suíça
180,"Qual o país de origem de Andrei Kirilenko, estrela russa apelidada de 'AK-47'?",Ucrânia,Rússia,Bielorrússia,Lituânia,Rússia
181,Qual lendário jogador croata brilhou nos Nets antes da sua morte trágica num acidente de carro em 1993?,Drazen Petrovic,Toni Kukoc,Dino Radja,Vlade Divac,Drazen Petrovic
182,Que equipa grega de Atenas é uma das potências mais tituladas da EuroLeague ao lado do seu rival Olympiacos?,Panathinaikos,AEK Atenas,PAOK,Aris,Panathinaikos
183,Qual jogador argentino jogou muitos anos com a camisola 4 da seleção e tornou-se o recordista de jogos em Mundiais?,Luis Scola,Manu Ginobili,Andres Nocioni,Pablo Prigioni,Luis Scola
184,De qual ilha das Caraíbas é originária a lenda da NBA Tim Duncan (apesar de jogar pela seleção dos EUA)?,Porto Rico,Ilhas Virgens Americanas,Jamaica,Bahamas,Ilhas Virgens Americanas
185,Qual a capital europeia onde se realizou a Final Four da EuroLeague de 2024?,Berlim,Kaunas,Belgrado,Madrid,Berlim
186,Como se chama a liga profissional de basquetebol feminino dos Estados Unidos?,WBA,NWBA,WNBA,WPBA,WNBA
187,Que jogadora universitária fenomenal quebrou todos os recordes de audiência e pontos antes de ser a nº1 do Draft da WNBA em 2024?,Caitlin Clark,Paige Bueckers,Angel Reese,Cameron Brink,Caitlin Clark
188,Qual jogadora é amplamente considerada a maior pontuadora da história da WNBA e lenda do Phoenix Mercury?,Diana Taurasi,Sue Bird,Maya Moore,Candace Parker,Diana Taurasi
189,"Que equipa famosa de exibição viaja pelo mundo combinando comédia, teatro e habilidades incríveis de basquetebol?",Harlem Globetrotters,Washington Generals,New York Knicks,Boston Breakers,Harlem Globetrotters
190,Quantos pontos vale um afundanço (enterrada) espetacular no basquetebol tradicional?,1 ponto,2 pontos,3 pontos,Depende do salto,2 pontos
191,"Quem foi a primeira lenda do basquetebol feminino brasileiro, conhecida como 'Rainha Hortência'?",Hortência Marcari,Magic Paula,Janeth Arcain,Marta,Hortência Marcari
192,Que jogadora icónica formou com Hortência a dupla de ouro do basquetebol brasileiro nos anos 90?,Janeth Arcain,Magic Paula,Alessandra,Cintia Tuiú,Magic Paula
193,Qual o nome da equipa da WNBA sediada em Nova Iorque que conquistou grande popularidade nos últimos anos?,New York Liberty,New York Spark,New York Queens,New York Fire,New York Liberty
194,O que significa o termo 'Triple-Double' num jogo de basquetebol?,Marcar três cestos seguidos de três pontos,Alcançar dois dígitos (10 ou mais) em três categorias estatísticas diferentes,Fazer três faltas na mesma jogada,O triplo do tempo de jogo,Alcançar dois dígitos (10 ou mais) em três categorias estatísticas diferentes
195,Como se chama o torneio universitário americano da NCAA que paralisa o país em março?,March Madness,Super Bowl,Final Four Pro,College Cup,March Madness
196,Qual jogador tem a alcunha de 'The Answer' e popularizou as mangas de braço protetoras?,Allen Iverson,Kobe Bryant,LeBron James,Carmelo Anthony,Allen Iverson
197,Que lendário poste dos Lakers e dos Bucks mudou o seu nome de Lew Alcindor após converter-se ao Islão?,Wilt Chamberlain,Kareem Abdul-Jabbar,Hakeem Olajuwon,Shaquille O'Neal,Kareem Abdul-Jabbar
198,Em qual categoria o prémio 'Sixth Man of the Year' da NBA é entregue?,Ao melhor jogador jovem,Ao melhor jogador suplente (reserva) que vem do banco,Ao melhor defensor,Ao jogador mais alto,Ao melhor jogador suplente (reserva) que vem do banco
199,Qual marca de calçado desportivo criou a linha ultra-famosa 'Air Jordan' em parceria com Michael Jordan?,Adidas,Nike,Puma,Under Armour,Nike
200,"Como se chama o evento anual da NBA onde os jogadores competem em habilidades, afundanços e lançamentos de 3 pontos?",Play-In Tournament,All-Star Weekend,NBA Finals,Draft Combine,All-Star Weekend
