id(numero),pergunta,resposa1,resposta2,resposta3,reposta4,resposta certa
175,"Quem foi o piloto alemão que correu pela Haas, sendo filho do lendário Michael Schumacher?",Mick Schumacher,Ralf Schumacher,David Schumacher,Sebastian Vettel,Mick Schumacher
176,Qual o circuito asiático conhecido pelo seu traçado em forma de '8' com um cruzamento em ponte?,Suzuka,Fuji,Sepang,Shanghai,Suzuka
177,Quem venceu o campeonato mundial de 2007 por apenas um ponto de vantagem?,Kimi Räikkönen,Lewis Hamilton,Fernando Alonso,Felipe Massa,Kimi Räikkönen
178,Qual escuderia de F1 tinha uma famosa parceria de patrocínio com a marca de cigarros West nos anos 90?,McLaren,Ferrari,Williams,Benetton,McLaren
179,Que piloto brasileiro é o recordista de vitórias em testes de kart e foi vice-campeão de F1 em 2008?,Felipe Massa,Rubens Barrichello,Nelson Piquet Jr.,Bruno Senna,Felipe Massa
180,Qual piloto britânico assumiu o lugar de George Russell na Williams quando este foi para a Mercedes?,Alex Albon,Nicholas Latifi,Logan Sargeant,Nyck de Vries,Alex Albon
181,"Quem foi o projetista que inventou o carro de efeito solo Brabham BT46B, conhecido como 'carro ventilador'?",Gordon Murray,Colin Chapman,Adrian Newey,John Barnard,Gordon Murray
182,Em qual cidade canadiana está localizado o Circuito Gilles Villeneuve?,Montreal,Toronto,Vancouver,Calgary,Montreal
183,Que piloto francês faleceu meses após um grave acidente no GP do Japão de 2014?,Jules Bianchi,Antoine Hubert,Romain Grosjean,Pierre Gasly,Jules Bianchi
184,Quem foi o campeão mundial de Fórmula 1 no ano de 2000?,Michael Schumacher,Mika Häkkinen,David Coulthard,Rubens Barrichello,Michael Schumacher
185,Qual o composto de pneu Pirelli mais duro disponível na gama de cores regular?,Pneu Duro (Branco),Pneu Médio (Amarelo),Pneu Macio (Vermelho),Pneu de Chuva (Azul),Pneu Duro (Branco)
186,Que circuito sedia o Grande Prémio do México?,Autódromo Hermanos Rodríguez,Circuito de Monterrey,Puebla Circuit,Cancun Street Circuit,Autódromo Hermanos Rodríguez
187,"Qual piloto dinamarquês correu pela McLaren, Renault e Haas e é conhecido pelo estilo agressivo?",Kevin Magnussen,Jan Magnussen,Christian Lundgaard,Oliver Bearman,Kevin Magnussen
188,Quem foi o primeiro piloto a alcançar 100 Pole Positions na história da Fórmula 1?,Lewis Hamilton,Michael Schumacher,Ayrton Senna,Sebastian Vettel,Lewis Hamilton
189,Que piloto canadense corre atualmente pela Aston Martin e é filho do proprietário da equipe?,Lance Stroll,Nicholas Latifi,Jacques Villeneuve,Robert Wickens,Lance Stroll
190,Qual o nome do circuito urbano de alta velocidade localizado na Arábia Saudita?,Circuito de Jeddah Corniche,Circuito de Riade,Circuito de Diriyah,Circuito de Dammam,Circuito de Jeddah Corniche
191,Que equipe conquistou todos os campeonatos mundiais de construtores entre 2014 e 2021?,Mercedes,Red Bull,Ferrari,McLaren,Mercedes
192,Qual piloto espanhol é bicampeão mundial de ralis e pai do atual piloto de F1 Carlos Sainz?,Carlos Sainz Sr.,Fernando Alonso,Luis Moya,Dani Sordo,Carlos Sainz Sr.
193,Qual o nome da famosa chicane que antecede a reta da meta no circuito de Spa-Francorchamps?,Bus Stop Chicane,La Source,Les Combes,Blanchimont,Bus Stop Chicane
194,Quem é o companheiro de equipa de Max Verstappen na Red Bull desde 2021?,Sergio Pérez,Alex Albon,Pierre Gasly,Daniel Ricciardo,Sergio Pérez
195,Quantos títulos mundiais conquistou o piloto alemão Sebastian Vettel?,4,3,2,5,4
196,"Qual o nome do circuito que recebe o Grande Prémio do Japão, projetado originalmente como pista de testes da Honda?",Suzuka,Fuji,Motegi,Tsukuba,Suzuka
197,"Qual piloto britânico corre pela Mercedes, tendo vencido na Fórmula 2 e estreado na Williams?",George Russell,Lando Norris,Alex Albon,Oscar Piastri,George Russell
198,Quem venceu o campeonato do mundo de Fórmula 1 em 2021 após uma final controversa em Abu Dhabi?,Max Verstappen,Lewis Hamilton,Valtteri Bottas,Sergio Pérez,Max Verstappen
199,Qual o circuito italiano que acolheu o Grande Prémio da Toscânia em 2020?,Mugello,Monza,Ímola,Misano,Mugello
200,Em que ano foi introduzido o teto orçamental (budget cap) para limitar os gastos das equipas na F1?,2021,2020,2019,2022,2021
